,occupation,gender,employee_new,year
3344,"Management, business, and financial operations occupations",Women,1011000,2018
3345,Professional and related occupations,Women,414000,2018
3346,Protective service occupations,Women,60000,2018
3347,"Service occupations, except protective",Women,4453000,2018
3348,Sales and related occupations,Women,734000,2018
3349,Office and administrative support occupations,Women,527000,2018
3350,"Farming, fishing, and forestry occupations",Women,2000,2018
3351,Construction and extraction occupations,Women,6000,2018
3352,"Installation, maintenance, and repair occupations",Women,2000,2018
3353,Production occupations,Women,63000,2018
3354,Transportation and material moving occupations,Women,75000,2018
3355,"Management, business, and financial operations occupations",Women,409000,2018
3356,Professional and related occupations,Women,431000,2018
3357,Protective service occupations,Women,12000,2018
3358,"Service occupations, except protective",Women,2427000,2018
3359,Sales and related occupations,Women,97000,2018
3360,Office and administrative support occupations,Women,563000,2018
3361,"Farming, fishing, and forestry occupations",Women,1000,2018
3362,Construction and extraction occupations,Women,0,2018
3363,"Installation, maintenance, and repair occupations",Women,37000,2018
3364,Production occupations,Women,134000,2018
3365,Transportation and material moving occupations,Women,38000,2018
3366,"Management, business, and financial operations occupations",Women,407000,2018
3367,Professional and related occupations,Women,425000,2018
3368,Protective service occupations,Women,12000,2018
3369,"Service occupations, except protective",Women,1715000,2018
3370,Sales and related occupations,Women,97000,2018
3371,Office and administrative support occupations,Women,561000,2018
3372,"Farming, fishing, and forestry occupations",Women,1000,2018
3373,Construction and extraction occupations,Women,0,2018
3374,"Installation, maintenance, and repair occupations",Women,37000,2018
3375,Production occupations,Women,133000,2018
3376,Transportation and material moving occupations,Women,36000,2018
3377,"Management, business, and financial operations occupations",Women,2000,2018
3378,Professional and related occupations,Women,6000,2018
3379,Protective service occupations,Women,0,2018
3380,"Service occupations, except protective",Women,712000,2018
3381,Sales and related occupations,Women,0,2018
3382,Office and administrative support occupations,Women,2000,2018
3383,"Farming, fishing, and forestry occupations",Women,0,2018
3384,Construction and extraction occupations,Women,0,2018
3385,"Installation, maintenance, and repair occupations",Women,0,2018
3386,Production occupations,Women,1000,2018
3387,Transportation and material moving occupations,Women,1000,2018
3388,"Management, business, and financial operations occupations",Women,765000,2018
3389,Professional and related occupations,Women,981000,2018
3390,Protective service occupations,Women,380000,2018
3391,"Service occupations, except protective",Women,232000,2018
3392,Sales and related occupations,Women,20000,2018
3393,Office and administrative support occupations,Women,957000,2018
3394,"Farming, fishing, and forestry occupations",Women,8000,2018
3395,Construction and extraction occupations,Women,7000,2018
3396,"Installation, maintenance, and repair occupations",Women,6000,2018
3397,Production occupations,Women,20000,2018
3398,Transportation and material moving occupations,Women,20000,2018
4323,"Management, business, and financial operations occupations",Men,778000,2017
4324,Professional and related occupations,Men,38000,2017
4325,Protective service occupations,Men,12000,2017
4326,"Service occupations, except protective",Men,48000,2017
4327,Sales and related occupations,Men,13000,2017
4328,Office and administrative support occupations,Men,13000,2017
4329,"Farming, fishing, and forestry occupations",Men,801000,2017
4330,Construction and extraction occupations,Men,11000,2017
4331,"Installation, maintenance, and repair occupations",Men,30000,2017
4332,Production occupations,Men,20000,2017
4333,Transportation and material moving occupations,Men,78000,2017
4334,"Management, business, and financial operations occupations",Men,119000,2017
4335,Professional and related occupations,Men,86000,2017
4336,Protective service occupations,Men,4000,2017
4337,"Service occupations, except protective",Men,4000,2017
4338,Sales and related occupations,Men,9000,2017
4339,Office and administrative support occupations,Men,21000,2017
4340,"Farming, fishing, and forestry occupations",Men,1000,2017
4341,Construction and extraction occupations,Men,231000,2017
4342,"Installation, maintenance, and repair occupations",Men,54000,2017
4343,Production occupations,Men,46000,2017
4344,Transportation and material moving occupations,Men,80000,2017
4345,"Management, business, and financial operations occupations",Men,1732000,2017
4346,Professional and related occupations,Men,210000,2017
4347,Protective service occupations,Men,13000,2017
4348,"Service occupations, except protective",Men,38000,2017
4349,Sales and related occupations,Men,90000,2017
4350,Office and administrative support occupations,Men,70000,2017
4351,"Farming, fishing, and forestry occupations",Men,5000,2017
4352,Construction and extraction occupations,Men,6576000,2017
4353,"Installation, maintenance, and repair occupations",Men,603000,2017
4354,Production occupations,Men,158000,2017
4355,Transportation and material moving occupations,Men,225000,2017
4356,"Management, business, and financial operations occupations",Men,1774000,2017
4357,Professional and related occupations,Men,1745000,2017
4358,Protective service occupations,Men,29000,2017
4359,"Service occupations, except protective",Men,135000,2017
4360,Sales and related occupations,Men,383000,2017
4361,Office and administrative support occupations,Men,509000,2017
4362,"Farming, fishing, and forestry occupations",Men,26000,2017
4363,Construction and extraction occupations,Men,294000,2017
4364,"Installation, maintenance, and repair occupations",Men,642000,2017
4365,Production occupations,Men,4323000,2017
4366,Transportation and material moving occupations,Men,995000,2017
4367,"Management, business, and financial operations occupations",Men,1189000,2017
4368,Professional and related occupations,Men,1328000,2017
4369,Protective service occupations,Men,19000,2017
4370,"Service occupations, except protective",Men,60000,2017
4371,Sales and related occupations,Men,219000,2017
4372,Office and administrative support occupations,Men,325000,2017
4373,"Farming, fishing, and forestry occupations",Men,5000,2017
4374,Construction and extraction occupations,Men,228000,2017
4375,"Installation, maintenance, and repair occupations",Men,409000,2017
4376,Production occupations,Men,2906000,2017
4377,Transportation and material moving occupations,Men,548000,2017
4378,"Management, business, and financial operations occupations",Men,585000,2017
4379,Professional and related occupations,Men,418000,2017
4380,Protective service occupations,Men,9000,2017
4381,"Service occupations, except protective",Men,75000,2017
4382,Sales and related occupations,Men,164000,2017
4383,Office and administrative support occupations,Men,184000,2017
4384,"Farming, fishing, and forestry occupations",Men,22000,2017
4385,Construction and extraction occupations,Men,66000,2017
4386,"Installation, maintenance, and repair occupations",Men,234000,2017
4387,Production occupations,Men,1418000,2017
4388,Transportation and material moving occupations,Men,448000,2017
4389,"Management, business, and financial operations occupations",Men,833000,2017
4390,Professional and related occupations,Men,519000,2017
4391,Protective service occupations,Men,48000,2017
4392,"Service occupations, except protective",Men,316000,2017
4393,Sales and related occupations,Men,5195000,2017
4394,Office and administrative support occupations,Men,1460000,2017
4395,"Farming, fishing, and forestry occupations",Men,32000,2017
4396,Construction and extraction occupations,Men,91000,2017
4397,"Installation, maintenance, and repair occupations",Men,679000,2017
4398,Production occupations,Men,374000,2017
4399,Transportation and material moving occupations,Men,1630000,2017
4400,"Management, business, and financial operations occupations",Men,324000,2017
4401,Professional and related occupations,Men,112000,2017
4402,Protective service occupations,Men,3000,2017
4403,"Service occupations, except protective",Men,22000,2017
4404,Sales and related occupations,Men,963000,2017
4405,Office and administrative support occupations,Men,234000,2017
4406,"Farming, fishing, and forestry occupations",Men,26000,2017
4407,Construction and extraction occupations,Men,22000,2017
4408,"Installation, maintenance, and repair occupations",Men,122000,2017
4409,Production occupations,Men,81000,2017
4410,Transportation and material moving occupations,Men,610000,2017
4411,"Management, business, and financial operations occupations",Men,509000,2017
4412,Professional and related occupations,Men,407000,2017
4413,Protective service occupations,Men,45000,2017
4414,"Service occupations, except protective",Men,293000,2017
4415,Sales and related occupations,Men,4231000,2017
4416,Office and administrative support occupations,Men,1226000,2017
4417,"Farming, fishing, and forestry occupations",Men,6000,2017
4418,Construction and extraction occupations,Men,68000,2017
4419,"Installation, maintenance, and repair occupations",Men,557000,2017
4420,Production occupations,Men,293000,2017
4421,Transportation and material moving occupations,Men,1020000,2017
4422,"Management, business, and financial operations occupations",Men,613000,2017
4423,Professional and related occupations,Men,287000,2017
4424,Protective service occupations,Men,25000,2017
4425,"Service occupations, except protective",Men,90000,2017
4426,Sales and related occupations,Men,86000,2017
4427,Office and administrative support occupations,Men,801000,2017
4428,"Farming, fishing, and forestry occupations",Men,3000,2017
4429,Construction and extraction occupations,Men,174000,2017
4430,"Installation, maintenance, and repair occupations",Men,527000,2017
4431,Production occupations,Men,334000,2017
4432,Transportation and material moving occupations,Men,3263000,2017
4433,"Management, business, and financial operations occupations",Men,338000,2017
4434,Professional and related occupations,Men,736000,2017
4435,Protective service occupations,Men,6000,2017
4436,"Service occupations, except protective",Men,34000,2017
4437,Sales and related occupations,Men,186000,2017
4438,Office and administrative support occupations,Men,135000,2017
4439,"Farming, fishing, and forestry occupations",Men,0,2017
4440,Construction and extraction occupations,Men,13000,2017
4441,"Installation, maintenance, and repair occupations",Men,268000,2017
4442,Production occupations,Men,27000,2017
4443,Transportation and material moving occupations,Men,30000,2017
4444,"Management, business, and financial operations occupations",Men,2245000,2017
4445,Professional and related occupations,Men,524000,2017
4446,Protective service occupations,Men,33000,2017
4447,"Service occupations, except protective",Men,233000,2017
4448,Sales and related occupations,Men,1131000,2017
4449,Office and administrative support occupations,Men,431000,2017
4450,"Farming, fishing, and forestry occupations",Men,0,2017
4451,Construction and extraction occupations,Men,46000,2017
4452,"Installation, maintenance, and repair occupations",Men,174000,2017
4453,Production occupations,Men,20000,2017
4454,Transportation and material moving occupations,Men,102000,2017
4455,"Management, business, and financial operations occupations",Men,2689000,2017
4456,Professional and related occupations,Men,3930000,2017
4457,Protective service occupations,Men,413000,2017
4458,"Service occupations, except protective",Men,1839000,2017
4459,Sales and related occupations,Men,348000,2017
4460,Office and administrative support occupations,Men,539000,2017
4461,"Farming, fishing, and forestry occupations",Men,14000,2017
4462,Construction and extraction occupations,Men,121000,2017
4463,"Installation, maintenance, and repair occupations",Men,285000,2017
4464,Production occupations,Men,219000,2017
4465,Transportation and material moving occupations,Men,484000,2017
4466,"Management, business, and financial operations occupations",Men,1125000,2017
4467,Professional and related occupations,Men,5199000,2017
4468,Protective service occupations,Men,121000,2017
4469,"Service occupations, except protective",Men,1430000,2017
4470,Sales and related occupations,Men,29000,2017
4471,Office and administrative support occupations,Men,341000,2017
4472,"Farming, fishing, and forestry occupations",Men,3000,2017
4473,Construction and extraction occupations,Men,76000,2017
4474,"Installation, maintenance, and repair occupations",Men,183000,2017
4475,Production occupations,Men,67000,2017
4476,Transportation and material moving occupations,Men,231000,2017
4477,"Management, business, and financial operations occupations",Men,1035000,2017
4478,Professional and related occupations,Men,557000,2017
4479,Protective service occupations,Men,140000,2017
4480,"Service occupations, except protective",Men,4238000,2017
4481,Sales and related occupations,Men,280000,2017
4482,Office and administrative support occupations,Men,232000,2017
4483,"Farming, fishing, and forestry occupations",Men,4000,2017
4484,Construction and extraction occupations,Men,33000,2017
4485,"Installation, maintenance, and repair occupations",Men,104000,2017
4486,Production occupations,Men,70000,2017
4487,Transportation and material moving occupations,Men,301000,2017
4488,"Management, business, and financial operations occupations",Men,295000,2017
4489,Professional and related occupations,Men,553000,2017
4490,Protective service occupations,Men,20000,2017
4491,"Service occupations, except protective",Men,666000,2017
4492,Sales and related occupations,Men,277000,2017
4493,Office and administrative support occupations,Men,80000,2017
4494,"Farming, fishing, and forestry occupations",Men,2000,2017
4495,Construction and extraction occupations,Men,24000,2017
4496,"Installation, maintenance, and repair occupations",Men,1075000,2017
4497,Production occupations,Men,310000,2017
4498,Transportation and material moving occupations,Men,315000,2017
4499,"Management, business, and financial operations occupations",Men,294000,2017
4500,Professional and related occupations,Men,551000,2017
4501,Protective service occupations,Men,20000,2017
4502,"Service occupations, except protective",Men,624000,2017
4503,Sales and related occupations,Men,277000,2017
4504,Office and administrative support occupations,Men,80000,2017
4505,"Farming, fishing, and forestry occupations",Men,2000,2017
4506,Construction and extraction occupations,Men,23000,2017
4507,"Installation, maintenance, and repair occupations",Men,1075000,2017
4508,Production occupations,Men,310000,2017
4509,Transportation and material moving occupations,Men,307000,2017
4510,"Management, business, and financial operations occupations",Men,1000,2017
4511,Professional and related occupations,Men,2000,2017
4512,Protective service occupations,Men,0,2017
4513,"Service occupations, except protective",Men,42000,2017
4514,Sales and related occupations,Men,0,2017
4515,Office and administrative support occupations,Men,0,2017
4516,"Farming, fishing, and forestry occupations",Men,0,2017
4517,Construction and extraction occupations,Men,1000,2017
4518,"Installation, maintenance, and repair occupations",Men,0,2017
4519,Production occupations,Men,0,2017
4520,Transportation and material moving occupations,Men,8000,2017
4521,"Management, business, and financial operations occupations",Men,630000,2017
4522,Professional and related occupations,Men,896000,2017
4523,Protective service occupations,Men,1556000,2017
4524,"Service occupations, except protective",Men,132000,2017
4525,Sales and related occupations,Men,17000,2017
4526,Office and administrative support occupations,Men,295000,2017
4527,"Farming, fishing, and forestry occupations",Men,15000,2017
4528,Construction and extraction occupations,Men,99000,2017
4529,"Installation, maintenance, and repair occupations",Men,154000,2017
4530,Production occupations,Men,63000,2017
4531,Transportation and material moving occupations,Men,80000,2017
4554,"Management, business, and financial operations occupations",Women,278000,2017
4555,Professional and related occupations,Women,14000,2017
4556,Protective service occupations,Women,2000,2017
4557,"Service occupations, except protective",Women,29000,2017
4558,Sales and related occupations,Women,5000,2017
4559,Office and administrative support occupations,Women,68000,2017
4560,"Farming, fishing, and forestry occupations",Women,200000,2017
4561,Construction and extraction occupations,Women,0,2017
4562,"Installation, maintenance, and repair occupations",Women,0,2017
4563,Production occupations,Women,4000,2017
4564,Transportation and material moving occupations,Women,11000,2017
4565,"Management, business, and financial operations occupations",Women,27000,2017
4566,Professional and related occupations,Women,25000,2017
4567,Protective service occupations,Women,0,2017
4568,"Service occupations, except protective",Women,1000,2017
4569,Sales and related occupations,Women,1000,2017
4570,Office and administrative support occupations,Women,31000,2017
4571,"Farming, fishing, and forestry occupations",Women,0,2017
4572,Construction and extraction occupations,Women,5000,2017
4573,"Installation, maintenance, and repair occupations",Women,1000,2017
4574,Production occupations,Women,1000,2017
4575,Transportation and material moving occupations,Women,1000,2017
4576,"Management, business, and financial operations occupations",Women,252000,2017
4577,Professional and related occupations,Women,56000,2017
4578,Protective service occupations,Women,2000,2017
4579,"Service occupations, except protective",Women,9000,2017
4580,Sales and related occupations,Women,21000,2017
4581,Office and administrative support occupations,Women,421000,2017
4582,"Farming, fishing, and forestry occupations",Women,0,2017
4583,Construction and extraction occupations,Women,192000,2017
4584,"Installation, maintenance, and repair occupations",Women,9000,2017
4585,Production occupations,Women,3000,2017
4586,Transportation and material moving occupations,Women,7000,2017
4587,"Management, business, and financial operations occupations",Women,871000,2017
4588,Professional and related occupations,Women,509000,2017
4589,Protective service occupations,Women,8000,2017
4590,"Service occupations, except protective",Women,81000,2017
4591,Sales and related occupations,Women,224000,2017
4592,Office and administrative support occupations,Women,783000,2017
4593,"Farming, fishing, and forestry occupations",Women,35000,2017
4594,Construction and extraction occupations,Women,10000,2017
4595,"Installation, maintenance, and repair occupations",Women,32000,2017
4596,Production occupations,Women,1755000,2017
4597,Transportation and material moving occupations,Women,243000,2017
4598,"Management, business, and financial operations occupations",Women,503000,2017
4599,Professional and related occupations,Women,296000,2017
4600,Protective service occupations,Women,5000,2017
4601,"Service occupations, except protective",Women,30000,2017
4602,Sales and related occupations,Women,76000,2017
4603,Office and administrative support occupations,Women,498000,2017
4604,"Farming, fishing, and forestry occupations",Women,1000,2017
4605,Construction and extraction occupations,Women,5000,2017
4606,"Installation, maintenance, and repair occupations",Women,25000,2017
4607,Production occupations,Women,917000,2017
4608,Transportation and material moving occupations,Women,106000,2017
4609,"Management, business, and financial operations occupations",Women,368000,2017
4610,Professional and related occupations,Women,213000,2017
4611,Protective service occupations,Women,3000,2017
4612,"Service occupations, except protective",Women,51000,2017
4613,Sales and related occupations,Women,148000,2017
4614,Office and administrative support occupations,Women,285000,2017
4615,"Farming, fishing, and forestry occupations",Women,35000,2017
4616,Construction and extraction occupations,Women,4000,2017
4617,"Installation, maintenance, and repair occupations",Women,7000,2017
4618,Production occupations,Women,837000,2017
4619,Transportation and material moving occupations,Women,137000,2017
4620,"Management, business, and financial operations occupations",Women,664000,2017
4621,Professional and related occupations,Women,689000,2017
4622,Protective service occupations,Women,21000,2017
4623,"Service occupations, except protective",Women,354000,2017
4624,Sales and related occupations,Women,4934000,2017
4625,Office and administrative support occupations,Women,1858000,2017
4626,"Farming, fishing, and forestry occupations",Women,29000,2017
4627,Construction and extraction occupations,Women,5000,2017
4628,"Installation, maintenance, and repair occupations",Women,30000,2017
4629,Production occupations,Women,205000,2017
4630,Transportation and material moving occupations,Women,347000,2017
4631,"Management, business, and financial operations occupations",Women,189000,2017
4632,Professional and related occupations,Women,61000,2017
4633,Protective service occupations,Women,1000,2017
4634,"Service occupations, except protective",Women,11000,2017
4635,Sales and related occupations,Women,341000,2017
4636,Office and administrative support occupations,Women,308000,2017
4637,"Farming, fishing, and forestry occupations",Women,25000,2017
4638,Construction and extraction occupations,Women,0,2017
4639,"Installation, maintenance, and repair occupations",Women,5000,2017
4640,Production occupations,Women,41000,2017
4641,Transportation and material moving occupations,Women,91000,2017
4642,"Management, business, and financial operations occupations",Women,476000,2017
4643,Professional and related occupations,Women,628000,2017
4644,Protective service occupations,Women,21000,2017
4645,"Service occupations, except protective",Women,342000,2017
4646,Sales and related occupations,Women,4593000,2017
4647,Office and administrative support occupations,Women,1550000,2017
4648,"Farming, fishing, and forestry occupations",Women,4000,2017
4649,Construction and extraction occupations,Women,5000,2017
4650,"Installation, maintenance, and repair occupations",Women,25000,2017
4651,Production occupations,Women,164000,2017
4652,Transportation and material moving occupations,Women,256000,2017
4653,"Management, business, and financial operations occupations",Women,263000,2017
4654,Professional and related occupations,Women,92000,2017
4655,Protective service occupations,Women,9000,2017
4656,"Service occupations, except protective",Women,62000,2017
4657,Sales and related occupations,Women,37000,2017
4658,Office and administrative support occupations,Women,851000,2017
4659,"Farming, fishing, and forestry occupations",Women,1000,2017
4660,Construction and extraction occupations,Women,2000,2017
4661,"Installation, maintenance, and repair occupations",Women,16000,2017
4662,Production occupations,Women,39000,2017
4663,Transportation and material moving occupations,Women,584000,2017
4664,"Management, business, and financial operations occupations",Women,226000,2017
4665,Professional and related occupations,Women,399000,2017
4666,Protective service occupations,Women,0,2017
4667,"Service occupations, except protective",Women,39000,2017
4668,Sales and related occupations,Women,144000,2017
4669,Office and administrative support occupations,Women,293000,2017
4670,"Farming, fishing, and forestry occupations",Women,0,2017
4671,Construction and extraction occupations,Women,0,2017
4672,"Installation, maintenance, and repair occupations",Women,11000,2017
4673,Production occupations,Women,13000,2017
4674,Transportation and material moving occupations,Women,7000,2017
4675,"Management, business, and financial operations occupations",Women,2153000,2017
4676,Professional and related occupations,Women,383000,2017
4677,Protective service occupations,Women,29000,2017
4678,"Service occupations, except protective",Women,93000,2017
4679,Sales and related occupations,Women,1153000,2017
4680,Office and administrative support occupations,Women,1681000,2017
4681,"Farming, fishing, and forestry occupations",Women,0,2017
4682,Construction and extraction occupations,Women,3000,2017
4683,"Installation, maintenance, and repair occupations",Women,12000,2017
4684,Production occupations,Women,21000,2017
4685,Transportation and material moving occupations,Women,14000,2017
4686,"Management, business, and financial operations occupations",Women,2151000,2017
4687,Professional and related occupations,Women,2198000,2017
4688,Protective service occupations,Women,144000,2017
4689,"Service occupations, except protective",Women,1201000,2017
4690,Sales and related occupations,Women,296000,2017
4691,Office and administrative support occupations,Women,1740000,2017
4692,"Farming, fishing, and forestry occupations",Women,3000,2017
4693,Construction and extraction occupations,Women,10000,2017
4694,"Installation, maintenance, and repair occupations",Women,18000,2017
4695,Production occupations,Women,91000,2017
4696,Transportation and material moving occupations,Women,101000,2017
4697,"Management, business, and financial operations occupations",Women,2183000,2017
4698,Professional and related occupations,Women,14096000,2017
4699,Protective service occupations,Women,61000,2017
4700,"Service occupations, except protective",Women,5742000,2017
4701,Sales and related occupations,Women,71000,2017
4702,Office and administrative support occupations,Women,3198000,2017
4703,"Farming, fishing, and forestry occupations",Women,1000,2017
4704,Construction and extraction occupations,Women,7000,2017
4705,"Installation, maintenance, and repair occupations",Women,18000,2017
4706,Production occupations,Women,101000,2017
4707,Transportation and material moving occupations,Women,201000,2017
4708,"Management, business, and financial operations occupations",Women,983000,2017
4709,Professional and related occupations,Women,441000,2017
4710,Protective service occupations,Women,61000,2017
4711,"Service occupations, except protective",Women,4428000,2017
4712,Sales and related occupations,Women,762000,2017
4713,Office and administrative support occupations,Women,476000,2017
4714,"Farming, fishing, and forestry occupations",Women,1000,2017
4715,Construction and extraction occupations,Women,3000,2017
4716,"Installation, maintenance, and repair occupations",Women,6000,2017
4717,Production occupations,Women,68000,2017
4718,Transportation and material moving occupations,Women,66000,2017
4719,"Management, business, and financial operations occupations",Women,400000,2017
4720,Professional and related occupations,Women,423000,2017
4721,Protective service occupations,Women,7000,2017
4722,"Service occupations, except protective",Women,2206000,2017
4723,Sales and related occupations,Women,108000,2017
4724,Office and administrative support occupations,Women,524000,2017
4725,"Farming, fishing, and forestry occupations",Women,0,2017
4726,Construction and extraction occupations,Women,0,2017
4727,"Installation, maintenance, and repair occupations",Women,35000,2017
4728,Production occupations,Women,131000,2017
4729,Transportation and material moving occupations,Women,33000,2017
4730,"Management, business, and financial operations occupations",Women,394000,2017
4731,Professional and related occupations,Women,419000,2017
4732,Protective service occupations,Women,7000,2017
4733,"Service occupations, except protective",Women,1617000,2017
4734,Sales and related occupations,Women,108000,2017
4735,Office and administrative support occupations,Women,519000,2017
4736,"Farming, fishing, and forestry occupations",Women,0,2017
4737,Construction and extraction occupations,Women,0,2017
4738,"Installation, maintenance, and repair occupations",Women,35000,2017
4739,Production occupations,Women,131000,2017
4740,Transportation and material moving occupations,Women,33000,2017
4741,"Management, business, and financial operations occupations",Women,6000,2017
4742,Professional and related occupations,Women,4000,2017
4743,Protective service occupations,Women,0,2017
4744,"Service occupations, except protective",Women,588000,2017
4745,Sales and related occupations,Women,0,2017
4746,Office and administrative support occupations,Women,4000,2017
4747,"Farming, fishing, and forestry occupations",Women,0,2017
4748,Construction and extraction occupations,Women,0,2017
4749,"Installation, maintenance, and repair occupations",Women,0,2017
4750,Production occupations,Women,0,2017
4751,Transportation and material moving occupations,Women,0,2017
4752,"Management, business, and financial operations occupations",Women,721000,2017
4753,Professional and related occupations,Women,916000,2017
4754,Protective service occupations,Women,350000,2017
4755,"Service occupations, except protective",Women,193000,2017
4756,Sales and related occupations,Women,15000,2017
4757,Office and administrative support occupations,Women,899000,2017
4758,"Farming, fishing, and forestry occupations",Women,6000,2017
4759,Construction and extraction occupations,Women,6000,2017
4760,"Installation, maintenance, and repair occupations",Women,11000,2017
4761,Production occupations,Women,17000,2017
4762,Transportation and material moving occupations,Women,14000,2017
5687,"Management, business, and financial operations occupations",Men,803000,2016
5688,Professional and related occupations,Men,37000,2016
5689,Protective service occupations,Men,13000,2016
5690,"Service occupations, except protective",Men,58000,2016
5691,Sales and related occupations,Men,8000,2016
5692,Office and administrative support occupations,Men,14000,2016
5693,"Farming, fishing, and forestry occupations",Men,761000,2016
5694,Construction and extraction occupations,Men,10000,2016
5695,"Installation, maintenance, and repair occupations",Men,37000,2016
5696,Production occupations,Men,27000,2016
5697,Transportation and material moving occupations,Men,71000,2016
5698,"Management, business, and financial operations occupations",Men,124000,2016
5699,Professional and related occupations,Men,109000,2016
5700,Protective service occupations,Men,2000,2016
5701,"Service occupations, except protective",Men,5000,2016
5702,Sales and related occupations,Men,12000,2016
5703,Office and administrative support occupations,Men,12000,2016
5704,"Farming, fishing, and forestry occupations",Men,0,2016
5705,Construction and extraction occupations,Men,228000,2016
5706,"Installation, maintenance, and repair occupations",Men,52000,2016
5707,Production occupations,Men,59000,2016
5708,Transportation and material moving occupations,Men,82000,2016
5709,"Management, business, and financial operations occupations",Men,1539000,2016
5710,Professional and related occupations,Men,218000,2016
5711,Protective service occupations,Men,9000,2016
5712,"Service occupations, except protective",Men,48000,2016
5713,Sales and related occupations,Men,83000,2016
5714,Office and administrative support occupations,Men,80000,2016
5715,"Farming, fishing, and forestry occupations",Men,3000,2016
5716,Construction and extraction occupations,Men,6469000,2016
5717,"Installation, maintenance, and repair occupations",Men,551000,2016
5718,Production occupations,Men,147000,2016
5719,Transportation and material moving occupations,Men,244000,2016
5720,"Management, business, and financial operations occupations",Men,1821000,2016
5721,Professional and related occupations,Men,1704000,2016
5722,Protective service occupations,Men,25000,2016
5723,"Service occupations, except protective",Men,151000,2016
5724,Sales and related occupations,Men,416000,2016
5725,Office and administrative support occupations,Men,496000,2016
5726,"Farming, fishing, and forestry occupations",Men,27000,2016
5727,Construction and extraction occupations,Men,294000,2016
5728,"Installation, maintenance, and repair occupations",Men,604000,2016
5729,Production occupations,Men,4389000,2016
5730,Transportation and material moving occupations,Men,1020000,2016
5731,"Management, business, and financial operations occupations",Men,1219000,2016
5732,Professional and related occupations,Men,1313000,2016
5733,Protective service occupations,Men,14000,2016
5734,"Service occupations, except protective",Men,63000,2016
5735,Sales and related occupations,Men,238000,2016
5736,Office and administrative support occupations,Men,292000,2016
5737,"Farming, fishing, and forestry occupations",Men,6000,2016
5738,Construction and extraction occupations,Men,235000,2016
5739,"Installation, maintenance, and repair occupations",Men,389000,2016
5740,Production occupations,Men,2956000,2016
5741,Transportation and material moving occupations,Men,562000,2016
5742,"Management, business, and financial operations occupations",Men,602000,2016
5743,Professional and related occupations,Men,391000,2016
5744,Protective service occupations,Men,11000,2016
5745,"Service occupations, except protective",Men,88000,2016
5746,Sales and related occupations,Men,179000,2016
5747,Office and administrative support occupations,Men,203000,2016
5748,"Farming, fishing, and forestry occupations",Men,22000,2016
5749,Construction and extraction occupations,Men,59000,2016
5750,"Installation, maintenance, and repair occupations",Men,216000,2016
5751,Production occupations,Men,1434000,2016
5752,Transportation and material moving occupations,Men,458000,2016
5753,"Management, business, and financial operations occupations",Men,895000,2016
5754,Professional and related occupations,Men,513000,2016
5755,Protective service occupations,Men,52000,2016
5756,"Service occupations, except protective",Men,330000,2016
5757,Sales and related occupations,Men,5218000,2016
5758,Office and administrative support occupations,Men,1441000,2016
5759,"Farming, fishing, and forestry occupations",Men,24000,2016
5760,Construction and extraction occupations,Men,83000,2016
5761,"Installation, maintenance, and repair occupations",Men,723000,2016
5762,Production occupations,Men,363000,2016
5763,Transportation and material moving occupations,Men,1569000,2016
5764,"Management, business, and financial operations occupations",Men,380000,2016
5765,Professional and related occupations,Men,116000,2016
5766,Protective service occupations,Men,3000,2016
5767,"Service occupations, except protective",Men,23000,2016
5768,Sales and related occupations,Men,990000,2016
5769,Office and administrative support occupations,Men,232000,2016
5770,"Farming, fishing, and forestry occupations",Men,18000,2016
5771,Construction and extraction occupations,Men,21000,2016
5772,"Installation, maintenance, and repair occupations",Men,125000,2016
5773,Production occupations,Men,71000,2016
5774,Transportation and material moving occupations,Men,589000,2016
5775,"Management, business, and financial operations occupations",Men,515000,2016
5776,Professional and related occupations,Men,397000,2016
5777,Protective service occupations,Men,48000,2016
5778,"Service occupations, except protective",Men,307000,2016
5779,Sales and related occupations,Men,4229000,2016
5780,Office and administrative support occupations,Men,1209000,2016
5781,"Farming, fishing, and forestry occupations",Men,7000,2016
5782,Construction and extraction occupations,Men,63000,2016
5783,"Installation, maintenance, and repair occupations",Men,598000,2016
5784,Production occupations,Men,292000,2016
5785,Transportation and material moving occupations,Men,980000,2016
5786,"Management, business, and financial operations occupations",Men,588000,2016
5787,Professional and related occupations,Men,277000,2016
5788,Protective service occupations,Men,20000,2016
5789,"Service occupations, except protective",Men,75000,2016
5790,Sales and related occupations,Men,62000,2016
5791,Office and administrative support occupations,Men,864000,2016
5792,"Farming, fishing, and forestry occupations",Men,1000,2016
5793,Construction and extraction occupations,Men,179000,2016
5794,"Installation, maintenance, and repair occupations",Men,506000,2016
5795,Production occupations,Men,275000,2016
5796,Transportation and material moving occupations,Men,3281000,2016
5797,"Management, business, and financial operations occupations",Men,344000,2016
5798,Professional and related occupations,Men,687000,2016
5799,Protective service occupations,Men,2000,2016
5800,"Service occupations, except protective",Men,37000,2016
5801,Sales and related occupations,Men,199000,2016
5802,Office and administrative support occupations,Men,121000,2016
5803,"Farming, fishing, and forestry occupations",Men,0,2016
5804,Construction and extraction occupations,Men,7000,2016
5805,"Installation, maintenance, and repair occupations",Men,243000,2016
5806,Production occupations,Men,27000,2016
5807,Transportation and material moving occupations,Men,28000,2016
