occupation,race,employee_new,year
Protective service occupations,Asian,21000,2018
"Service occupations, except protective",Asian,60000,2018
Sales and related occupations,Asian,26000,2018
Office and administrative support occupations,Asian,100000,2018
"Farming, fishing, and forestry occupations",Asian,2000,2018
Construction and extraction occupations,Asian,7000,2018
"Installation, maintenance, and repair occupations",Asian,10000,2018
Production occupations,Asian,15000,2018
Transportation and material moving occupations,Asian,16000,2018
"Management, business, and financial operations occupations",Asian,164000,2018
Professional and related occupations,Asian,1476000,2018
Protective service occupations,Asian,6000,2018
"Service occupations, except protective",Asian,391000,2018
Sales and related occupations,Asian,4000,2018
Office and administrative support occupations,Asian,160000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,3000,2018
"Installation, maintenance, and repair occupations",Asian,8000,2018
Production occupations,Asian,9000,2018
Transportation and material moving occupations,Asian,11000,2018
"Management, business, and financial operations occupations",Asian,190000,2018
Professional and related occupations,Asian,45000,2018
Protective service occupations,Asian,8000,2018
"Service occupations, except protective",Asian,576000,2018
Sales and related occupations,Asian,69000,2018
Office and administrative support occupations,Asian,51000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,1000,2018
"Installation, maintenance, and repair occupations",Asian,1000,2018
Production occupations,Asian,8000,2018
Transportation and material moving occupations,Asian,25000,2018
"Management, business, and financial operations occupations",Asian,48000,2018
Professional and related occupations,Asian,56000,2018
Protective service occupations,Asian,1000,2018
"Service occupations, except protective",Asian,417000,2018
Sales and related occupations,Asian,18000,2018
Office and administrative support occupations,Asian,25000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,41000,2018
Production occupations,Asian,32000,2018
Transportation and material moving occupations,Asian,12000,2018
"Management, business, and financial operations occupations",Asian,48000,2018
Professional and related occupations,Asian,55000,2018
Protective service occupations,Asian,1000,2018
"Service occupations, except protective",Asian,396000,2018
Sales and related occupations,Asian,18000,2018
Office and administrative support occupations,Asian,25000,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,41000,2018
Production occupations,Asian,32000,2018
Transportation and material moving occupations,Asian,11000,2018
"Management, business, and financial operations occupations",Asian,0,2018
Professional and related occupations,Asian,1000,2018
Protective service occupations,Asian,0,2018
"Service occupations, except protective",Asian,22000,2018
Sales and related occupations,Asian,0,2018
Office and administrative support occupations,Asian,0,2018
"Farming, fishing, and forestry occupations",Asian,0,2018
Construction and extraction occupations,Asian,0,2018
"Installation, maintenance, and repair occupations",Asian,0,2018
Production occupations,Asian,0,2018
Transportation and material moving occupations,Asian,1000,2018
"Management, business, and financial operations occupations",Asian,69000,2018
Professional and related occupations,Asian,122000,2018
Protective service occupations,Asian,34000,2018
"Service occupations, except protective",Asian,30000,2018
Sales and related occupations,Asian,1000,2018
Office and administrative support occupations,Asian,53000,2018
"Farming, fishing, and forestry occupations",Asian,1000,2018
Construction and extraction occupations,Asian,5000,2018
"Installation, maintenance, and repair occupations",Asian,4000,2018
Production occupations,Asian,4000,2018
Transportation and material moving occupations,Asian,5000,2018
"Management, business, and financial operations occupations",White,1007000,2017
Professional and related occupations,White,49000,2017
Protective service occupations,White,13000,2017
"Service occupations, except protective",White,72000,2017
Sales and related occupations,White,18000,2017
Office and administrative support occupations,White,73000,2017
"Farming, fishing, and forestry occupations",White,908000,2017
Construction and extraction occupations,White,10000,2017
"Installation, maintenance, and repair occupations",White,28000,2017
Production occupations,White,17000,2017
Transportation and material moving occupations,White,72000,2017
"Management, business, and financial operations occupations",White,135000,2017
Professional and related occupations,White,95000,2017
Protective service occupations,White,4000,2017
"Service occupations, except protective",White,4000,2017
Sales and related occupations,White,7000,2017
Office and administrative support occupations,White,44000,2017
"Farming, fishing, and forestry occupations",White,1000,2017
Construction and extraction occupations,White,207000,2017
"Installation, maintenance, and repair occupations",White,49000,2017
Production occupations,White,38000,2017
Transportation and material moving occupations,White,70000,2017
"Management, business, and financial operations occupations",White,1816000,2017
Professional and related occupations,White,221000,2017
Protective service occupations,White,11000,2017
"Service occupations, except protective",White,39000,2017
Sales and related occupations,White,107000,2017
Office and administrative support occupations,White,450000,2017
"Farming, fishing, and forestry occupations",White,5000,2017
Construction and extraction occupations,White,5958000,2017
"Installation, maintenance, and repair occupations",White,554000,2017
Production occupations,White,136000,2017
Transportation and material moving occupations,White,203000,2017
"Management, business, and financial operations occupations",White,2300000,2017
Professional and related occupations,White,1738000,2017
Protective service occupations,White,29000,2017
"Service occupations, except protective",White,162000,2017
Sales and related occupations,White,536000,2017
Office and administrative support occupations,White,1073000,2017
"Farming, fishing, and forestry occupations",White,51000,2017
Construction and extraction occupations,White,271000,2017
"Installation, maintenance, and repair occupations",White,588000,2017
Production occupations,White,4632000,2017
Transportation and material moving occupations,White,940000,2017
"Management, business, and financial operations occupations",White,1481000,2017
Professional and related occupations,White,1244000,2017
Protective service occupations,White,18000,2017
"Service occupations, except protective",White,72000,2017
Sales and related occupations,White,265000,2017
Office and administrative support occupations,White,694000,2017
"Farming, fishing, and forestry occupations",White,5000,2017
Construction and extraction occupations,White,205000,2017
"Installation, maintenance, and repair occupations",White,370000,2017
Production occupations,White,2959000,2017
Transportation and material moving occupations,White,499000,2017
"Management, business, and financial operations occupations",White,819000,2017
Professional and related occupations,White,495000,2017
Protective service occupations,White,11000,2017
"Service occupations, except protective",White,90000,2017
Sales and related occupations,White,271000,2017
Office and administrative support occupations,White,379000,2017
"Farming, fishing, and forestry occupations",White,45000,2017
Construction and extraction occupations,White,66000,2017
"Installation, maintenance, and repair occupations",White,218000,2017
Production occupations,White,1674000,2017
Transportation and material moving occupations,White,441000,2017
"Management, business, and financial operations occupations",White,1255000,2017
Professional and related occupations,White,929000,2017
Protective service occupations,White,50000,2017
"Service occupations, except protective",White,504000,2017
Sales and related occupations,White,8056000,2017
Office and administrative support occupations,White,2558000,2017
"Farming, fishing, and forestry occupations",White,48000,2017
Construction and extraction occupations,White,86000,2017
"Installation, maintenance, and repair occupations",White,605000,2017
Production occupations,White,449000,2017
Transportation and material moving occupations,White,1478000,2017
"Management, business, and financial operations occupations",White,441000,2017
Professional and related occupations,White,139000,2017
Protective service occupations,White,3000,2017
"Service occupations, except protective",White,26000,2017
Sales and related occupations,White,1157000,2017
Office and administrative support occupations,White,433000,2017
"Farming, fishing, and forestry occupations",White,39000,2017
Construction and extraction occupations,White,18000,2017
"Installation, maintenance, and repair occupations",White,109000,2017
Production occupations,White,88000,2017
Transportation and material moving occupations,White,510000,2017
"Management, business, and financial operations occupations",White,814000,2017
Professional and related occupations,White,791000,2017
Protective service occupations,White,47000,2017
"Service occupations, except protective",White,478000,2017
Sales and related occupations,White,6899000,2017
Office and administrative support occupations,White,2125000,2017
"Farming, fishing, and forestry occupations",White,9000,2017
Construction and extraction occupations,White,68000,2017
"Installation, maintenance, and repair occupations",White,496000,2017
Production occupations,White,360000,2017
Transportation and material moving occupations,White,968000,2017
"Management, business, and financial operations occupations",White,721000,2017
Professional and related occupations,White,302000,2017
Protective service occupations,White,24000,2017
"Service occupations, except protective",White,95000,2017
Sales and related occupations,White,107000,2017
Office and administrative support occupations,White,1139000,2017
"Farming, fishing, and forestry occupations",White,4000,2017
Construction and extraction occupations,White,152000,2017
"Installation, maintenance, and repair occupations",White,460000,2017
Production occupations,White,321000,2017
Transportation and material moving occupations,White,2637000,2017
"Management, business, and financial operations occupations",White,459000,2017
Professional and related occupations,White,870000,2017
Protective service occupations,White,5000,2017
"Service occupations, except protective",White,60000,2017
Sales and related occupations,White,264000,2017
Office and administrative support occupations,White,314000,2017
"Farming, fishing, and forestry occupations",White,0,2017
Construction and extraction occupations,White,11000,2017
"Installation, maintenance, and repair occupations",White,221000,2017
Production occupations,White,32000,2017
Transportation and material moving occupations,White,25000,2017
"Management, business, and financial operations occupations",White,3615000,2017
Professional and related occupations,White,627000,2017
Protective service occupations,White,42000,2017
"Service occupations, except protective",White,236000,2017
Sales and related occupations,White,1918000,2017
Office and administrative support occupations,White,1642000,2017
"Farming, fishing, and forestry occupations",White,0,2017
Construction and extraction occupations,White,43000,2017
"Installation, maintenance, and repair occupations",White,155000,2017
Production occupations,White,32000,2017
Transportation and material moving occupations,White,84000,2017
"Management, business, and financial operations occupations",White,3958000,2017
Professional and related occupations,White,4729000,2017
Protective service occupations,White,313000,2017
"Service occupations, except protective",White,2475000,2017
Sales and related occupations,White,539000,2017
Office and administrative support occupations,White,1781000,2017
"Farming, fishing, and forestry occupations",White,14000,2017
Construction and extraction occupations,White,107000,2017
"Installation, maintenance, and repair occupations",White,242000,2017
Production occupations,White,225000,2017
Transportation and material moving occupations,White,399000,2017
"Management, business, and financial operations occupations",White,2653000,2017
Professional and related occupations,White,15190000,2017
Protective service occupations,White,117000,2017
"Service occupations, except protective",White,4819000,2017
Sales and related occupations,White,76000,2017
Office and administrative support occupations,White,2758000,2017
"Farming, fishing, and forestry occupations",White,4000,2017
Construction and extraction occupations,White,65000,2017
"Installation, maintenance, and repair occupations",White,163000,2017
Production occupations,White,112000,2017
Transportation and material moving occupations,White,311000,2017
"Management, business, and financial operations occupations",White,1555000,2017
Professional and related occupations,White,820000,2017
Protective service occupations,White,148000,2017
"Service occupations, except protective",White,6453000,2017
Sales and related occupations,White,674000,2017
Office and administrative support occupations,White,526000,2017
"Farming, fishing, and forestry occupations",White,4000,2017
Construction and extraction occupations,White,30000,2017
"Installation, maintenance, and repair occupations",White,95000,2017
Production occupations,White,102000,2017
Transportation and material moving occupations,White,273000,2017
"Management, business, and financial operations occupations",White,573000,2017
Professional and related occupations,White,793000,2017
Protective service occupations,White,24000,2017
"Service occupations, except protective",White,2024000,2017
Sales and related occupations,White,316000,2017
Office and administrative support occupations,White,502000,2017
"Farming, fishing, and forestry occupations",White,2000,2017
Construction and extraction occupations,White,23000,2017
"Installation, maintenance, and repair occupations",White,943000,2017
Production occupations,White,352000,2017
Transportation and material moving occupations,White,239000,2017
"Management, business, and financial operations occupations",White,567000,2017
Professional and related occupations,White,789000,2017
Protective service occupations,White,24000,2017
"Service occupations, except protective",White,1501000,2017
Sales and related occupations,White,316000,2017
Office and administrative support occupations,White,499000,2017
"Farming, fishing, and forestry occupations",White,2000,2017
Construction and extraction occupations,White,22000,2017
"Installation, maintenance, and repair occupations",White,943000,2017
Production occupations,White,352000,2017
Transportation and material moving occupations,White,232000,2017
"Management, business, and financial operations occupations",White,6000,2017
Professional and related occupations,White,3000,2017
Protective service occupations,White,0,2017
"Service occupations, except protective",White,523000,2017
Sales and related occupations,White,0,2017
Office and administrative support occupations,White,4000,2017
"Farming, fishing, and forestry occupations",White,0,2017
Construction and extraction occupations,White,1000,2017
"Installation, maintenance, and repair occupations",White,0,2017
Production occupations,White,0,2017
Transportation and material moving occupations,White,7000,2017
"Management, business, and financial operations occupations",White,1016000,2017
Professional and related occupations,White,1320000,2017
Protective service occupations,White,1480000,2017
"Service occupations, except protective",White,225000,2017
Sales and related occupations,White,21000,2017
Office and administrative support occupations,White,856000,2017
"Farming, fishing, and forestry occupations",White,17000,2017
Construction and extraction occupations,White,86000,2017
"Installation, maintenance, and repair occupations",White,128000,2017
Production occupations,White,64000,2017
Transportation and material moving occupations,White,60000,2017
"Management, business, and financial operations occupations",Black or African American,10000,2017
Professional and related occupations,Black or African American,1000,2017
Protective service occupations,Black or African American,0,2017
"Service occupations, except protective",Black or African American,3000,2017
Sales and related occupations,Black or African American,0,2017
Office and administrative support occupations,Black or African American,3000,2017
"Farming, fishing, and forestry occupations",Black or African American,42000,2017
Construction and extraction occupations,Black or African American,0,2017
"Installation, maintenance, and repair occupations",Black or African American,1000,2017
Production occupations,Black or African American,2000,2017
Transportation and material moving occupations,Black or African American,11000,2017
"Management, business, and financial operations occupations",Black or African American,4000,2017
Professional and related occupations,Black or African American,6000,2017
Protective service occupations,Black or African American,0,2017
"Service occupations, except protective",Black or African American,1000,2017
Sales and related occupations,Black or African American,0,2017
Office and administrative support occupations,Black or African American,6000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,13000,2017
"Installation, maintenance, and repair occupations",Black or African American,3000,2017
Production occupations,Black or African American,4000,2017
Transportation and material moving occupations,Black or African American,6000,2017
"Management, business, and financial operations occupations",Black or African American,80000,2017
Professional and related occupations,Black or African American,17000,2017
Protective service occupations,Black or African American,1000,2017
"Service occupations, except protective",Black or African American,4000,2017
Sales and related occupations,Black or African American,1000,2017
Office and administrative support occupations,Black or African American,16000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,460000,2017
"Installation, maintenance, and repair occupations",Black or African American,33000,2017
Production occupations,Black or African American,17000,2017
Transportation and material moving occupations,Black or African American,22000,2017
"Management, business, and financial operations occupations",Black or African American,120000,2017
Professional and related occupations,Black or African American,113000,2017
Protective service occupations,Black or African American,6000,2017
"Service occupations, except protective",Black or African American,26000,2017
Sales and related occupations,Black or African American,34000,2017
Office and administrative support occupations,Black or African American,131000,2017
"Farming, fishing, and forestry occupations",Black or African American,7000,2017
Construction and extraction occupations,Black or African American,18000,2017
"Installation, maintenance, and repair occupations",Black or African American,47000,2017
Production occupations,Black or African American,840000,2017
Transportation and material moving occupations,Black or African American,213000,2017
"Management, business, and financial operations occupations",Black or African American,70000,2017
Professional and related occupations,Black or African American,68000,2017
Protective service occupations,Black or African American,5000,2017
"Service occupations, except protective",Black or African American,10000,2017
Sales and related occupations,Black or African American,17000,2017
Office and administrative support occupations,Black or African American,77000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,14000,2017
"Installation, maintenance, and repair occupations",Black or African American,35000,2017
Production occupations,Black or African American,496000,2017
Transportation and material moving occupations,Black or African American,115000,2017
"Management, business, and financial operations occupations",Black or African American,50000,2017
Professional and related occupations,Black or African American,45000,2017
Protective service occupations,Black or African American,1000,2017
"Service occupations, except protective",Black or African American,16000,2017
Sales and related occupations,Black or African American,17000,2017
Office and administrative support occupations,Black or African American,54000,2017
"Farming, fishing, and forestry occupations",Black or African American,7000,2017
Construction and extraction occupations,Black or African American,4000,2017
"Installation, maintenance, and repair occupations",Black or African American,12000,2017
Production occupations,Black or African American,344000,2017
Transportation and material moving occupations,Black or African American,99000,2017
"Management, business, and financial operations occupations",Black or African American,101000,2017
Professional and related occupations,Black or African American,88000,2017
Protective service occupations,Black or African American,11000,2017
"Service occupations, except protective",Black or African American,99000,2017
Sales and related occupations,Black or African American,1135000,2017
Office and administrative support occupations,Black or African American,484000,2017
"Farming, fishing, and forestry occupations",Black or African American,7000,2017
Construction and extraction occupations,Black or African American,6000,2017
"Installation, maintenance, and repair occupations",Black or African American,55000,2017
Production occupations,Black or African American,70000,2017
Transportation and material moving occupations,Black or African American,324000,2017
"Management, business, and financial operations occupations",Black or African American,24000,2017
Professional and related occupations,Black or African American,9000,2017
Protective service occupations,Black or African American,0,2017
"Service occupations, except protective",Black or African American,6000,2017
Sales and related occupations,Black or African American,65000,2017
Office and administrative support occupations,Black or African American,59000,2017
"Farming, fishing, and forestry occupations",Black or African American,7000,2017
Construction and extraction occupations,Black or African American,4000,2017
"Installation, maintenance, and repair occupations",Black or African American,10000,2017
Production occupations,Black or African American,16000,2017
Transportation and material moving occupations,Black or African American,134000,2017
"Management, business, and financial operations occupations",Black or African American,77000,2017
Professional and related occupations,Black or African American,78000,2017
Protective service occupations,Black or African American,11000,2017
"Service occupations, except protective",Black or African American,93000,2017
Sales and related occupations,Black or African American,1070000,2017
Office and administrative support occupations,Black or African American,425000,2017
"Farming, fishing, and forestry occupations",Black or African American,1000,2017
Construction and extraction occupations,Black or African American,2000,2017
"Installation, maintenance, and repair occupations",Black or African American,46000,2017
Production occupations,Black or African American,54000,2017
Transportation and material moving occupations,Black or African American,190000,2017
"Management, business, and financial operations occupations",Black or African American,90000,2017
Professional and related occupations,Black or African American,37000,2017
Protective service occupations,Black or African American,8000,2017
"Service occupations, except protective",Black or African American,43000,2017
Sales and related occupations,Black or African American,12000,2017
Office and administrative support occupations,Black or African American,383000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,11000,2017
"Installation, maintenance, and repair occupations",Black or African American,46000,2017
Production occupations,Black or African American,37000,2017
Transportation and material moving occupations,Black or African American,865000,2017
"Management, business, and financial operations occupations",Black or African American,45000,2017
Professional and related occupations,Black or African American,99000,2017
Protective service occupations,Black or African American,1000,2017
"Service occupations, except protective",Black or African American,7000,2017
Sales and related occupations,Black or African American,45000,2017
Office and administrative support occupations,Black or African American,82000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,0,2017
"Installation, maintenance, and repair occupations",Black or African American,47000,2017
Production occupations,Black or African American,3000,2017
Transportation and material moving occupations,Black or African American,7000,2017
"Management, business, and financial operations occupations",Black or African American,392000,2017
Professional and related occupations,Black or African American,99000,2017
Protective service occupations,Black or African American,16000,2017
"Service occupations, except protective",Black or African American,58000,2017
Sales and related occupations,Black or African American,186000,2017
Office and administrative support occupations,Black or African American,293000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,4000,2017
"Installation, maintenance, and repair occupations",Black or African American,19000,2017
Production occupations,Black or African American,5000,2017
Transportation and material moving occupations,Black or African American,20000,2017
"Management, business, and financial operations occupations",Black or African American,331000,2017
Professional and related occupations,Black or African American,394000,2017
Protective service occupations,Black or African American,185000,2017
"Service occupations, except protective",Black or African American,360000,2017
Sales and related occupations,Black or African American,62000,2017
Office and administrative support occupations,Black or African American,324000,2017
"Farming, fishing, and forestry occupations",Black or African American,1000,2017
Construction and extraction occupations,Black or African American,13000,2017
"Installation, maintenance, and repair occupations",Black or African American,32000,2017
Production occupations,Black or African American,44000,2017
Transportation and material moving occupations,Black or African American,133000,2017
"Management, business, and financial operations occupations",Black or African American,407000,2017
Professional and related occupations,Black or African American,2289000,2017
Protective service occupations,Black or African American,51000,2017
"Service occupations, except protective",Black or African American,1689000,2017
Sales and related occupations,Black or African American,15000,2017
Office and administrative support occupations,Black or African American,505000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,14000,2017
"Installation, maintenance, and repair occupations",Black or African American,26000,2017
Production occupations,Black or African American,34000,2017
Transportation and material moving occupations,Black or African American,89000,2017
"Management, business, and financial operations occupations",Black or African American,189000,2017
Professional and related occupations,Black or African American,87000,2017
Protective service occupations,Black or African American,33000,2017
"Service occupations, except protective",Black or African American,1166000,2017
Sales and related occupations,Black or African American,229000,2017
Office and administrative support occupations,Black or African American,89000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,2000,2017
"Installation, maintenance, and repair occupations",Black or African American,9000,2017
Production occupations,Black or African American,22000,2017
Transportation and material moving occupations,Black or African American,54000,2017
"Management, business, and financial operations occupations",Black or African American,72000,2017
Professional and related occupations,Black or African American,115000,2017
Protective service occupations,Black or African American,3000,2017
"Service occupations, except protective",Black or African American,354000,2017
Sales and related occupations,Black or African American,31000,2017
Office and administrative support occupations,Black or African American,52000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,0,2017
"Installation, maintenance, and repair occupations",Black or African American,92000,2017
Production occupations,Black or African American,43000,2017
Transportation and material moving occupations,Black or African American,74000,2017
"Management, business, and financial operations occupations",Black or African American,71000,2017
Professional and related occupations,Black or African American,113000,2017
Protective service occupations,Black or African American,3000,2017
"Service occupations, except protective",Black or African American,290000,2017
Sales and related occupations,Black or African American,31000,2017
Office and administrative support occupations,Black or African American,52000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,0,2017
"Installation, maintenance, and repair occupations",Black or African American,92000,2017
Production occupations,Black or African American,43000,2017
Transportation and material moving occupations,Black or African American,73000,2017
"Management, business, and financial operations occupations",Black or African American,0,2017
Professional and related occupations,Black or African American,2000,2017
Protective service occupations,Black or African American,0,2017
"Service occupations, except protective",Black or African American,64000,2017
Sales and related occupations,Black or African American,0,2017
Office and administrative support occupations,Black or African American,0,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,0,2017
"Installation, maintenance, and repair occupations",Black or African American,0,2017
Production occupations,Black or African American,0,2017
Transportation and material moving occupations,Black or African American,1000,2017
"Management, business, and financial operations occupations",Black or African American,234000,2017
Professional and related occupations,Black or African American,301000,2017
Protective service occupations,Black or African American,323000,2017
"Service occupations, except protective",Black or African American,54000,2017
Sales and related occupations,Black or African American,7000,2017
Office and administrative support occupations,Black or African American,224000,2017
"Farming, fishing, and forestry occupations",Black or African American,0,2017
Construction and extraction occupations,Black or African American,10000,2017
"Installation, maintenance, and repair occupations",Black or African American,20000,2017
Production occupations,Black or African American,10000,2017
Transportation and material moving occupations,Black or African American,26000,2017
"Management, business, and financial operations occupations",Asian,14000,2017
Professional and related occupations,Asian,2000,2017
Protective service occupations,Asian,0,2017
"Service occupations, except protective",Asian,1000,2017
Sales and related occupations,Asian,0,2017
Office and administrative support occupations,Asian,2000,2017
"Farming, fishing, and forestry occupations",Asian,12000,2017
Construction and extraction occupations,Asian,0,2017
"Installation, maintenance, and repair occupations",Asian,1000,2017
Production occupations,Asian,1000,2017
Transportation and material moving occupations,Asian,2000,2017
"Management, business, and financial operations occupations",Asian,3000,2017
Professional and related occupations,Asian,10000,2017
Protective service occupations,Asian,0,2017
"Service occupations, except protective",Asian,0,2017
Sales and related occupations,Asian,0,2017
Office and administrative support occupations,Asian,0,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,4000,2017
"Installation, maintenance, and repair occupations",Asian,1000,2017
Production occupations,Asian,2000,2017
Transportation and material moving occupations,Asian,1000,2017
"Management, business, and financial operations occupations",Asian,47000,2017
Professional and related occupations,Asian,18000,2017
Protective service occupations,Asian,2000,2017
"Service occupations, except protective",Asian,1000,2017
Sales and related occupations,Asian,2000,2017
Office and administrative support occupations,Asian,11000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,104000,2017
"Installation, maintenance, and repair occupations",Asian,13000,2017
Production occupations,Asian,2000,2017
Transportation and material moving occupations,Asian,2000,2017
"Management, business, and financial operations occupations",Asian,188000,2017
Professional and related occupations,Asian,358000,2017
Protective service occupations,Asian,2000,2017
"Service occupations, except protective",Asian,12000,2017
Sales and related occupations,Asian,25000,2017
Office and administrative support occupations,Asian,50000,2017
"Farming, fishing, and forestry occupations",Asian,2000,2017
Construction and extraction occupations,Asian,6000,2017
"Installation, maintenance, and repair occupations",Asian,20000,2017
Production occupations,Asian,395000,2017
Transportation and material moving occupations,Asian,39000,2017
"Management, business, and financial operations occupations",Asian,118000,2017
Professional and related occupations,Asian,278000,2017
Protective service occupations,Asian,2000,2017
"Service occupations, except protective",Asian,4000,2017
Sales and related occupations,Asian,10000,2017
Office and administrative support occupations,Asian,30000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,6000,2017
"Installation, maintenance, and repair occupations",Asian,15000,2017
Production occupations,Asian,246000,2017
Transportation and material moving occupations,Asian,19000,2017
"Management, business, and financial operations occupations",Asian,70000,2017
Professional and related occupations,Asian,80000,2017
Protective service occupations,Asian,0,2017
"Service occupations, except protective",Asian,9000,2017
Sales and related occupations,Asian,15000,2017
Office and administrative support occupations,Asian,21000,2017
"Farming, fishing, and forestry occupations",Asian,2000,2017
Construction and extraction occupations,Asian,1000,2017
"Installation, maintenance, and repair occupations",Asian,5000,2017
Production occupations,Asian,149000,2017
Transportation and material moving occupations,Asian,20000,2017
"Management, business, and financial operations occupations",Asian,105000,2017
Professional and related occupations,Asian,157000,2017
Protective service occupations,Asian,3000,2017
"Service occupations, except protective",Asian,30000,2017
Sales and related occupations,Asian,586000,2017
Office and administrative support occupations,Asian,155000,2017
"Farming, fishing, and forestry occupations",Asian,4000,2017
Construction and extraction occupations,Asian,1000,2017
"Installation, maintenance, and repair occupations",Asian,27000,2017
Production occupations,Asian,35000,2017
Transportation and material moving occupations,Asian,92000,2017
"Management, business, and financial operations occupations",Asian,41000,2017
Professional and related occupations,Asian,21000,2017
Protective service occupations,Asian,1000,2017
"Service occupations, except protective",Asian,1000,2017
Sales and related occupations,Asian,60000,2017
Office and administrative support occupations,Asian,33000,2017
"Farming, fishing, and forestry occupations",Asian,4000,2017
Construction and extraction occupations,Asian,0,2017
"Installation, maintenance, and repair occupations",Asian,3000,2017
Production occupations,Asian,9000,2017
Transportation and material moving occupations,Asian,35000,2017
"Management, business, and financial operations occupations",Asian,64000,2017
Professional and related occupations,Asian,135000,2017
Protective service occupations,Asian,3000,2017
"Service occupations, except protective",Asian,29000,2017
Sales and related occupations,Asian,526000,2017
Office and administrative support occupations,Asian,121000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,1000,2017
"Installation, maintenance, and repair occupations",Asian,24000,2017
Production occupations,Asian,25000,2017
Transportation and material moving occupations,Asian,57000,2017
"Management, business, and financial operations occupations",Asian,43000,2017
Professional and related occupations,Asian,33000,2017
Protective service occupations,Asian,0,2017
"Service occupations, except protective",Asian,7000,2017
Sales and related occupations,Asian,4000,2017
Office and administrative support occupations,Asian,78000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,5000,2017
"Installation, maintenance, and repair occupations",Asian,17000,2017
Production occupations,Asian,5000,2017
Transportation and material moving occupations,Asian,211000,2017
"Management, business, and financial operations occupations",Asian,48000,2017
Professional and related occupations,Asian,128000,2017
Protective service occupations,Asian,0,2017
"Service occupations, except protective",Asian,1000,2017
Sales and related occupations,Asian,16000,2017
Office and administrative support occupations,Asian,18000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,2000,2017
"Installation, maintenance, and repair occupations",Asian,7000,2017
Production occupations,Asian,2000,2017
Transportation and material moving occupations,Asian,1000,2017
"Management, business, and financial operations occupations",Asian,298000,2017
Professional and related occupations,Asian,164000,2017
Protective service occupations,Asian,3000,2017
"Service occupations, except protective",Asian,17000,2017
Sales and related occupations,Asian,122000,2017
Office and administrative support occupations,Asian,107000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,1000,2017
"Installation, maintenance, and repair occupations",Asian,6000,2017
Production occupations,Asian,4000,2017
Transportation and material moving occupations,Asian,2000,2017
"Management, business, and financial operations occupations",Asian,440000,2017
Professional and related occupations,Asian,829000,2017
Protective service occupations,Asian,27000,2017
"Service occupations, except protective",Asian,81000,2017
Sales and related occupations,Asian,29000,2017
Office and administrative support occupations,Asian,103000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,4000,2017
"Installation, maintenance, and repair occupations",Asian,14000,2017
Production occupations,Asian,27000,2017
Transportation and material moving occupations,Asian,18000,2017
"Management, business, and financial operations occupations",Asian,158000,2017
Professional and related occupations,Asian,1361000,2017
Protective service occupations,Asian,6000,2017
"Service occupations, except protective",Asian,383000,2017
Sales and related occupations,Asian,4000,2017
Office and administrative support occupations,Asian,153000,2017
"Farming, fishing, and forestry occupations",Asian,0,2017
Construction and extraction occupations,Asian,1000,2017
"Installation, maintenance, and repair occupations",Asian,7000,2017
Production occupations,Asian,14000,2017
Transportation and material moving occupations,Asian,14000,2017
"Management, business, and financial operations occupations",Asian,191000,2017
Professional and related occupations,Asian,54000,2017
Protective service occupations,Asian,7000,2017
"Service occupations, except protective",Asian,554000,2017
Sales and related occupations,Asian,71000,2017
Office and administrative support occupations,Asian,54000,2017
